X.1,X,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cells_sum,count_famrecall,count_test_response,date_startdate,date_starttime,multichar_knowresp,rtnr,p2dur,plc1,plc1c,plc1s,plc1sh,plc1x,plc1y,plc2,plc2c,plc2s,plc2sh,plc2x,plc2y,plc3,plc3c,plc3s,plc3sh,plc3x,plc3y,plc4,plc4c,plc4s,plc4sh,plc4x,plc4y,plc5,plc5c,plc5s,plc5sh,plc5x,plc5y,plcundefined,plcundefineds,plcundefinedsh,plcundefinedx,plcundefinedy,response_test_response,response_time_test_response,sessionid,stim,type,tq
1,333,0,3,5,2,4,1,0,0,0,5,0,79,19-09-23,12:08:50,m9hljr,1,2200,tri0.png,0,1,tri,120,0,cir0.png,0,1,cir,-120,0,cir0.png,0,1,cir,0,-120,sqa0.png,0,1,sqa,0,0,sqa0.png,0,1,sqa,120,-120,,NA,,NA,NA,right,800,1697710166307,p3sarrshacol4.png,sarrshacol,new
2,334,0,1,4,0,5,3,0,2,0,5,0,79,19-09-23,12:08:50,m9hljr,2,2200,tri0.png,0,1,tri,0,-120,sqa0.png,0,1,sqa,0,120,tri0.png,0,1,tri,120,0,tri0.png,0,1,tri,120,-120,cir0.png,0,1,cir,0,0,,NA,,NA,NA,right,800,1697710166307,p3sarrshacol4.png,sarrshacol,new
3,335,0,2,0,0,1,4,5,0,3,5,0,79,19-09-23,12:08:50,m9hljr,3,2200,sqa0.png,0,1,sqa,0,0,cir0.png,0,1,cir,0,-120,tri0.png,0,1,tri,120,120,sqa0.png,0,1,sqa,120,0,cir0.png,0,1,cir,-120,120,,NA,,NA,NA,right,800,1697710166307,p3sarrshacol4.png,sarrshacol,new
4,336,0,1,5,0,2,3,0,4,0,5,0,79,19-09-23,12:08:50,m9hljr,4,2200,tri0.png,0,1,tri,0,-120,tri0.png,0,1,tri,0,0,tri0.png,0,1,tri,120,0,sqa0.png,0,1,sqa,0,120,tri0.png,0,1,tri,120,-120,,NA,,NA,NA,right,800,1697710166307,p3sarrshacol4.png,sarrshacol,new
5,418,0,1,3,0,5,2,0,4,0,5,0,79,15-09-23,14:29:32,fb48kr,1,1333,tri1.png,1,1,tri,0,-120,tri3.png,3,1,tri,120,0,tri3.png,3,1,tri,120,-120,sqa1.png,1,1,sqa,0,120,cir5.png,5,1,cir,0,0,,NA,,NA,NA,left,1667,1697372999372,p3sarrshacol4.png,sarrshacol,new
6,419,0,3,5,1,4,2,0,0,0,5,0,79,15-09-23,14:29:32,fb48kr,2,1333,cir4.png,4,1,cir,-120,0,tri2.png,2,1,tri,120,0,cir5.png,5,1,cir,0,-120,sqa4.png,4,1,sqa,0,0,sqa6.png,6,1,sqa,120,-120,,NA,,NA,NA,left,1667,1697372999372,p3sarrshacol4.png,sarrshacol,new
7,420,1,5,0,2,3,4,0,0,0,5,0,79,15-09-23,14:29:32,fb48kr,3,1333,sqa1.png,1,1,sqa,-120,-120,sqa6.png,6,1,sqa,-120,0,cir6.png,6,1,cir,0,0,tri2.png,2,1,tri,120,0,cir3.png,3,1,cir,0,-120,,NA,,NA,NA,left,1667,1697372999372,p3sarrshacol4.png,sarrshacol,new
8,421,0,2,3,1,4,5,0,0,0,5,0,79,15-09-23,14:29:32,fb48kr,4,1333,tri4.png,4,1,tri,-120,0,tri6.png,6,1,tri,0,-120,tri1.png,1,1,tri,120,-120,cir4.png,4,1,cir,0,0,sqa2.png,2,1,sqa,120,0,,NA,,NA,NA,left,1667,1697372999372,p3sarrshacol4.png,sarrshacol,new
9,503,0,2,4,0,5,3,1,0,0,5,0,79,13-09-23,11:58:46,gsi47t,1,1910,tri6.png,6,1,tri,-120,120,sqa4.png,4,1,sqa,0,-120,cir1.png,1,1,cir,120,0,sqa4.png,4,1,sqa,120,-120,tri2.png,2,1,tri,0,0,,NA,,NA,NA,down,1090,1697191182292,p3sarrshacol4.png,sarrshacol,new
10,504,0,5,2,0,1,4,3,0,0,5,0,79,13-09-23,11:58:46,gsi47t,2,1910,cir2.png,2,1,cir,0,0,sqa4.png,4,1,sqa,120,-120,tri1.png,1,1,tri,-120,120,sqa4.png,4,1,sqa,120,0,tri6.png,6,1,tri,0,-120,,NA,,NA,NA,down,1090,1697191182292,p3sarrshacol4.png,sarrshacol,new
11,505,0,5,2,0,3,1,4,0,0,5,0,79,13-09-23,11:58:46,gsi47t,3,1910,tri5.png,5,1,tri,120,0,cir1.png,1,1,cir,120,-120,sqa4.png,4,1,sqa,0,0,tri6.png,6,1,tri,-120,120,sqa4.png,4,1,sqa,0,-120,,NA,,NA,NA,down,1090,1697191182292,p3sarrshacol4.png,sarrshacol,new
12,506,0,1,2,0,3,4,0,0,5,5,0,79,13-09-23,11:58:46,gsi47t,4,1910,tri6.png,6,1,tri,0,-120,sqa4.png,4,1,sqa,120,-120,tri6.png,6,1,tri,0,0,cir4.png,4,1,cir,120,0,cir1.png,1,1,cir,120,120,,NA,,NA,NA,down,1090,1697191182292,p3sarrshacol4.png,sarrshacol,new
13,588,0,2,5,0,3,1,0,4,0,5,0,79,12-09-23,18:01:02,oujjkl,1,1894,tri0.png,0,1,tri,120,0,tri0.png,0,1,tri,0,-120,sqa0.png,0,1,sqa,0,0,tri0.png,0,1,tri,0,120,tri0.png,0,1,tri,120,-120,,NA,,NA,NA,left,1106,1697126476238,p3sarrshacol4.png,sarrshacol,new
14,589,0,1,4,2,0,5,3,0,0,5,0,79,12-09-23,18:01:02,oujjkl,2,1894,cir0.png,0,1,cir,0,-120,cir0.png,0,1,cir,-120,0,tri0.png,0,1,tri,-120,120,sqa0.png,0,1,sqa,120,-120,tri0.png,0,1,tri,120,0,,NA,,NA,NA,left,1106,1697126476238,p3sarrshacol4.png,sarrshacol,new
15,590,1,5,0,2,3,4,0,0,0,5,0,79,12-09-23,18:01:02,oujjkl,3,1894,sqa0.png,0,1,sqa,-120,-120,cir0.png,0,1,cir,-120,0,cir0.png,0,1,cir,0,0,tri0.png,0,1,tri,120,0,sqa0.png,0,1,sqa,0,-120,,NA,,NA,NA,left,1106,1697126476238,p3sarrshacol4.png,sarrshacol,new
16,591,0,1,5,0,3,4,0,2,0,5,0,79,12-09-23,18:01:02,oujjkl,4,1894,tri0.png,0,1,tri,0,-120,cir0.png,0,1,cir,0,120,sqa0.png,0,1,sqa,0,0,sqa0.png,0,1,sqa,120,0,tri0.png,0,1,tri,120,-120,,NA,,NA,NA,left,1106,1697126476238,p3sarrshacol4.png,sarrshacol,new
21,843,5,4,0,3,2,1,0,0,0,5,0,79,11-09-23,14:23:31,t7oifc,1,1530,tri4.png,4,1,tri,120,0,sqa6.png,6,1,sqa,0,0,cir6.png,6,1,cir,-120,0,sqa3.png,3,1,sqa,0,-120,cir1.png,1,1,cir,-120,-120,,NA,,NA,NA,down,1470,1697027042450,p3sarrshacol4.png,sarrshacol,new
22,844,0,1,5,0,2,3,0,4,0,5,0,79,11-09-23,14:23:31,t7oifc,2,1530,tri1.png,1,1,tri,0,-120,cir5.png,5,1,cir,0,0,tri3.png,3,1,tri,120,0,sqa1.png,1,1,sqa,0,120,tri3.png,3,1,tri,120,-120,,NA,,NA,NA,down,1470,1697027042450,p3sarrshacol4.png,sarrshacol,new
23,845,0,2,5,4,0,1,3,0,0,5,0,79,11-09-23,14:23:31,t7oifc,3,1530,tri0.png,0,1,tri,120,0,sqa0.png,0,1,sqa,0,-120,tri0.png,0,1,tri,-120,120,cir0.png,0,1,cir,-120,0,sqa0.png,0,1,sqa,120,-120,,NA,,NA,NA,down,1470,1697027042450,p3sarrshacol4.png,sarrshacol,new
24,846,0,2,0,3,4,5,0,0,1,5,0,79,11-09-23,14:23:31,t7oifc,4,1530,tri2.png,2,1,tri,120,120,sqa5.png,5,1,sqa,0,-120,sqa4.png,4,1,sqa,-120,0,cir4.png,4,1,cir,0,0,cir6.png,6,1,cir,120,0,,NA,,NA,NA,down,1470,1697027042450,p3sarrshacol4.png,sarrshacol,new
25,928,0,2,1,0,4,3,0,5,0,5,0,79,10-09-23,19:01:57,b43iyt,1,2003,tri3.png,3,1,tri,120,-120,tri5.png,5,1,tri,0,-120,tri3.png,3,1,tri,120,0,cir4.png,4,1,cir,0,0,sqa5.png,5,1,sqa,0,120,,NA,,NA,NA,left,997,1696957334556,p3sarrshacol4.png,sarrshacol,new
26,929,0,3,4,2,1,5,0,0,0,5,0,79,10-09-23,19:01:57,b43iyt,2,2003,cir4.png,4,1,cir,0,0,sqa4.png,4,1,sqa,-120,0,sqa5.png,5,1,sqa,0,-120,cir6.png,6,1,cir,120,-120,tri3.png,3,1,tri,120,0,,NA,,NA,NA,left,997,1696957334556,p3sarrshacol4.png,sarrshacol,new
27,930,2,4,0,5,1,3,0,0,0,5,0,79,10-09-23,19:01:57,b43iyt,3,2003,sqa6.png,6,1,sqa,0,0,cir1.png,1,1,cir,-120,-120,tri2.png,2,1,tri,120,0,tri4.png,4,1,tri,0,-120,sqa3.png,3,1,sqa,-120,0,,NA,,NA,NA,left,997,1696957334556,p3sarrshacol4.png,sarrshacol,new
29,1520,0,5,3,0,2,1,0,4,0,5,0,79,08-09-23,16:04:51,d5rb1m,1,1564,sqa0.png,0,1,sqa,120,0,tri0.png,0,1,tri,0,0,sqa0.png,0,1,sqa,120,-120,sqa0.png,0,1,sqa,0,120,sqa0.png,0,1,sqa,0,-120,,NA,,NA,NA,right,1436,1696773986528,p3sarrshacol4.png,sarrshacol,new
30,1521,5,4,0,1,2,3,0,0,0,5,0,79,08-09-23,16:04:51,d5rb1m,2,1564,tri0.png,0,1,tri,-120,0,sqa0.png,0,1,sqa,0,0,cir0.png,0,1,cir,120,0,tri0.png,0,1,tri,0,-120,sqa0.png,0,1,sqa,-120,-120,,NA,,NA,NA,right,1436,1696773986528,p3sarrshacol4.png,sarrshacol,new
31,1522,1,3,2,4,0,0,5,0,0,5,0,79,08-09-23,16:04:51,d5rb1m,3,1564,tri0.png,0,1,tri,-120,-120,sqa0.png,0,1,sqa,120,-120,tri0.png,0,1,tri,0,-120,cir0.png,0,1,cir,-120,0,sqa0.png,0,1,sqa,-120,120,,NA,,NA,NA,right,1436,1696773986528,p3sarrshacol4.png,sarrshacol,new
32,1523,0,1,5,0,3,2,4,0,0,5,0,79,08-09-23,16:04:51,d5rb1m,4,1564,sqa0.png,0,1,sqa,0,-120,sqa0.png,0,1,sqa,120,0,cir0.png,0,1,cir,0,0,cir0.png,0,1,cir,-120,120,sqa0.png,0,1,sqa,120,-120,,NA,,NA,NA,right,1436,1696773986528,p3sarrshacol4.png,sarrshacol,new
33,1605,0,5,1,0,4,2,0,3,0,5,0,79,08-09-23,15:57:15,c22l4x,1,1846,tri4.png,4,1,tri,120,-120,tri4.png,4,1,tri,120,0,sqa5.png,5,1,sqa,0,120,cir6.png,6,1,cir,0,0,tri5.png,5,1,tri,0,-120,,NA,,NA,NA,left,1154,1696773487512,p3sarrshacol4.png,sarrshacol,new
34,1606,2,4,0,1,5,3,0,0,0,5,0,79,08-09-23,15:57:15,c22l4x,2,1846,cir3.png,3,1,cir,-120,0,cir6.png,6,1,cir,-120,-120,tri1.png,1,1,tri,120,0,sqa6.png,6,1,sqa,0,-120,sqa3.png,3,1,sqa,0,0,,NA,,NA,NA,left,1154,1696773487512,p3sarrshacol4.png,sarrshacol,new
35,1607,0,4,1,3,0,5,2,0,0,5,0,79,08-09-23,15:57:15,c22l4x,3,1846,sqa4.png,4,1,sqa,120,-120,cir4.png,4,1,cir,-120,120,tri4.png,4,1,tri,-120,0,sqa1.png,1,1,sqa,0,-120,tri4.png,4,1,tri,120,0,,NA,,NA,NA,left,1154,1696773487512,p3sarrshacol4.png,sarrshacol,new
36,1608,0,4,1,3,5,2,0,0,0,5,0,79,08-09-23,15:57:15,c22l4x,4,1846,cir1.png,1,1,cir,120,-120,tri4.png,4,1,tri,120,0,sqa3.png,3,1,sqa,-120,0,tri4.png,4,1,tri,0,-120,sqa3.png,3,1,sqa,0,0,,NA,,NA,NA,left,1154,1696773487512,p3sarrshacol4.png,sarrshacol,new
37,1690,0,3,4,0,2,5,0,1,0,5,0,79,08-09-23,15:44:21,a6l1bn,1,1028,tri1.png,1,1,tri,0,120,sqa1.png,1,1,sqa,0,0,cir5.png,5,1,cir,0,-120,cir3.png,3,1,cir,120,-120,sqa3.png,3,1,sqa,120,0,cir0.png,1,cir,-120,0,down,1972,1696772680726,p3sarrshacol4.png,sarrshacol,new
38,1691,0,1,0,4,5,0,0,2,3,5,0,79,08-09-23,15:44:21,a6l1bn,2,1028,cir6.png,6,1,cir,0,-120,tri2.png,2,1,tri,0,120,cir4.png,4,1,cir,120,120,sqa6.png,6,1,sqa,-120,0,sqa6.png,6,1,sqa,0,0,cir0.png,1,cir,-120,0,down,1972,1696772680726,p3sarrshacol4.png,sarrshacol,new
39,1692,3,0,0,0,1,5,2,0,4,5,0,79,08-09-23,15:44:21,a6l1bn,3,1028,cir2.png,2,1,cir,0,0,tri4.png,4,1,tri,-120,120,tri4.png,4,1,tri,-120,-120,cir2.png,2,1,cir,120,120,sqa6.png,6,1,sqa,120,0,cir0.png,1,cir,-120,0,down,1972,1696772680726,p3sarrshacol4.png,sarrshacol,new
40,1693,0,1,5,0,4,2,0,0,3,5,0,79,08-09-23,15:44:21,a6l1bn,4,1028,sqa4.png,4,1,sqa,0,-120,tri3.png,3,1,tri,120,0,cir1.png,1,1,cir,120,120,tri3.png,3,1,tri,0,0,sqa5.png,5,1,sqa,120,-120,cir0.png,1,cir,-120,0,down,1972,1696772680726,p3sarrshacol4.png,sarrshacol,new
41,1775,0,2,5,0,3,1,0,4,0,5,0,79,07-09-23,20:50:44,yhmfdn,1,1434,sqa3.png,3,1,sqa,120,0,sqa1.png,1,1,sqa,0,-120,tri5.png,5,1,tri,0,0,sqa1.png,1,1,sqa,0,120,sqa3.png,3,1,sqa,120,-120,,NA,,NA,NA,right,1566,1696704646972,p3sarrshacol4.png,sarrshacol,new
42,1776,2,4,0,1,5,3,0,0,0,5,0,79,07-09-23,20:50:44,yhmfdn,2,1434,cir6.png,6,1,cir,-120,0,cir1.png,1,1,cir,-120,-120,tri2.png,2,1,tri,120,0,sqa3.png,3,1,sqa,0,-120,sqa6.png,6,1,sqa,0,0,,NA,,NA,NA,right,1566,1696704646972,p3sarrshacol4.png,sarrshacol,new
43,1777,0,4,2,1,0,5,3,0,0,5,0,79,07-09-23,20:50:44,yhmfdn,3,1434,cir4.png,4,1,cir,-120,0,sqa4.png,4,1,sqa,120,-120,tri5.png,5,1,tri,-120,120,sqa6.png,6,1,sqa,0,-120,tri4.png,4,1,tri,120,0,,NA,,NA,NA,right,1566,1696704646972,p3sarrshacol4.png,sarrshacol,new
44,1778,0,1,3,0,5,4,0,0,2,5,0,79,07-09-23,20:50:44,yhmfdn,4,1434,sqa1.png,1,1,sqa,0,-120,cir3.png,3,1,cir,120,120,sqa5.png,5,1,sqa,120,-120,cir4.png,4,1,cir,120,0,tri5.png,5,1,tri,0,0,,NA,,NA,NA,right,1566,1696704646972,p3sarrshacol4.png,sarrshacol,new
45,1860,0,0,4,2,0,5,0,3,1,5,0,79,07-09-23,13:58:55,lzzluq,1,1698,sqa4.png,4,1,sqa,120,120,cir6.png,6,1,cir,-120,0,sqa6.png,6,1,sqa,0,120,tri1.png,1,1,tri,120,-120,sqa4.png,4,1,sqa,120,0,sqa0.png,1,sqa,-120,120,left,1302,1696680021979,p3sarrshacol4.png,sarrshacol,new
46,1861,0,1,5,0,4,3,0,2,0,5,0,79,07-09-23,13:58:55,lzzluq,2,1698,tri1.png,1,1,tri,0,-120,sqa5.png,5,1,sqa,0,120,tri3.png,3,1,tri,120,0,sqa5.png,5,1,sqa,0,0,tri3.png,3,1,tri,120,-120,sqa0.png,1,sqa,-120,120,left,1302,1696680021979,p3sarrshacol4.png,sarrshacol,new
47,1862,0,1,3,0,2,5,0,0,4,5,0,79,07-09-23,13:58:55,lzzluq,3,1698,cir6.png,6,1,cir,0,-120,cir2.png,2,1,cir,0,0,sqa5.png,5,1,sqa,120,-120,tri3.png,3,1,tri,120,120,sqa6.png,6,1,sqa,120,0,sqa0.png,1,sqa,-120,120,left,1302,1696680021979,p3sarrshacol4.png,sarrshacol,new
49,2026,0,3,0,0,4,1,0,5,2,5,0,79,06-09-23,10:57:31,gwexgn,1,1461,tri3.png,3,1,tri,120,0,tri3.png,3,1,tri,120,120,tri5.png,5,1,tri,0,-120,cir2.png,2,1,cir,0,0,sqa5.png,5,1,sqa,0,120,,NA,,NA,NA,left,1539,1696582743046,p3sarrshacol4.png,sarrshacol,new
50,2027,0,3,5,0,2,4,1,0,0,5,0,79,06-09-23,10:57:31,gwexgn,2,1461,tri4.png,4,1,tri,-120,120,tri4.png,4,1,tri,0,0,sqa4.png,4,1,sqa,0,-120,cir3.png,3,1,cir,120,0,sqa1.png,1,1,sqa,120,-120,,NA,,NA,NA,left,1539,1696582743046,p3sarrshacol4.png,sarrshacol,new
51,2028,5,3,0,2,4,1,0,0,0,5,0,79,06-09-23,10:57:31,gwexgn,3,1461,tri2.png,2,1,tri,120,0,cir4.png,4,1,cir,-120,0,sqa5.png,5,1,sqa,0,-120,sqa5.png,5,1,sqa,0,0,cir4.png,4,1,cir,-120,-120,,NA,,NA,NA,left,1539,1696582743046,p3sarrshacol4.png,sarrshacol,new
52,2029,5,3,0,2,1,4,0,0,0,5,0,79,06-09-23,10:57:31,gwexgn,4,1461,cir2.png,2,1,cir,0,0,sqa1.png,1,1,sqa,-120,0,sqa5.png,5,1,sqa,0,-120,tri2.png,2,1,tri,120,0,sqa4.png,4,1,sqa,-120,-120,,NA,,NA,NA,left,1539,1696582743046,p3sarrshacol4.png,sarrshacol,new
53,2111,0,2,4,1,5,3,0,0,0,5,0,79,05-09-23,19:01:00,k8x7e9,1,1115,tri0.png,0,1,tri,-120,0,sqa1.png,1,1,sqa,0,-120,tri0.png,0,1,tri,120,0,cir0.png,0,1,cir,120,-120,cir0.png,0,1,cir,0,0,,NA,,NA,NA,left,1885,1696525332456,p3sarrshacol4.png,sarrshacol,new
54,2112,0,5,4,2,1,0,0,0,3,5,0,79,05-09-23,19:01:00,k8x7e9,2,1115,sqa3.png,3,1,sqa,0,0,cir1.png,1,1,cir,-120,0,tri0.png,0,1,tri,120,120,tri2.png,2,1,tri,120,-120,sqa4.png,4,1,sqa,0,-120,,NA,,NA,NA,left,1885,1696525332456,p3sarrshacol4.png,sarrshacol,new
55,2113,0,0,1,4,0,5,2,0,3,5,0,79,05-09-23,19:01:00,k8x7e9,3,1115,sqa4.png,4,1,sqa,120,-120,tri6.png,6,1,tri,-120,120,tri4.png,4,1,tri,120,120,cir3.png,3,1,cir,-120,0,tri6.png,6,1,tri,120,0,,NA,,NA,NA,left,1885,1696525332456,p3sarrshacol4.png,sarrshacol,new
61,2362,0,2,1,3,0,5,4,0,0,5,0,79,04-09-23,12:56:13,tpjyq7,1,1128,sqa0.png,0,1,sqa,120,-120,sqa0.png,0,1,sqa,0,-120,cir0.png,0,1,cir,-120,0,cir0.png,0,1,cir,-120,120,tri0.png,0,1,tri,120,0,,NA,,NA,NA,left,1872,1696417026635,p3sarrshacol4.png,sarrshacol,new
62,2363,0,4,2,0,1,5,0,3,0,5,0,79,04-09-23,12:56:13,tpjyq7,2,1128,tri0.png,0,1,tri,0,0,cir0.png,0,1,cir,120,-120,sqa0.png,0,1,sqa,0,120,sqa0.png,0,1,sqa,0,-120,tri0.png,0,1,tri,120,0,,NA,,NA,NA,left,1872,1696417026635,p3sarrshacol4.png,sarrshacol,new
63,2364,0,5,2,1,4,3,0,0,0,5,0,79,04-09-23,12:56:13,tpjyq7,3,1128,sqa0.png,0,1,sqa,-120,0,cir0.png,0,1,cir,120,-120,sqa0.png,0,1,sqa,120,0,tri0.png,0,1,tri,0,0,sqa0.png,0,1,sqa,0,-120,,NA,,NA,NA,left,1872,1696417026635,p3sarrshacol4.png,sarrshacol,new
64,2365,0,1,5,2,3,4,0,0,0,5,0,79,04-09-23,12:56:13,tpjyq7,4,1128,sqa0.png,0,1,sqa,0,-120,tri0.png,0,1,tri,-120,0,cir0.png,0,1,cir,0,0,sqa0.png,0,1,sqa,120,0,cir0.png,0,1,cir,120,-120,,NA,,NA,NA,left,1872,1696417026635,p3sarrshacol4.png,sarrshacol,new
65,2447,0,0,4,0,5,1,2,3,0,5,0,79,03-09-23,21:56:31,s255m6,1,266,tri5.png,5,1,tri,120,0,sqa3.png,3,1,sqa,-120,120,sqa2.png,2,1,sqa,0,120,cir4.png,4,1,cir,120,-120,tri5.png,5,1,tri,0,0,,NA,,NA,NA,right,2734,1696363024990,p3sarrshacol4.png,sarrshacol,new
66,2448,5,2,0,4,1,0,0,0,3,5,0,79,03-09-23,21:56:31,s255m6,2,266,sqa4.png,4,1,sqa,0,0,tri3.png,3,1,tri,0,-120,sqa1.png,1,1,sqa,120,120,sqa4.png,4,1,sqa,-120,0,cir2.png,2,1,cir,-120,-120,,NA,,NA,NA,right,2734,1696363024990,p3sarrshacol4.png,sarrshacol,new
67,2449,0,0,0,3,1,0,2,4,5,5,0,79,03-09-23,21:56:31,s255m6,3,266,tri6.png,6,1,tri,0,0,cir1.png,1,1,cir,-120,120,sqa6.png,6,1,sqa,-120,0,tri3.png,3,1,tri,0,120,tri4.png,4,1,tri,120,120,,NA,,NA,NA,right,2734,1696363024990,p3sarrshacol4.png,sarrshacol,new
68,2450,0,5,0,0,3,2,1,4,0,5,0,79,03-09-23,21:56:31,s255m6,4,266,sqa6.png,6,1,sqa,-120,120,cir3.png,3,1,cir,120,0,tri3.png,3,1,tri,0,0,sqa4.png,4,1,sqa,0,120,cir1.png,1,1,cir,0,-120,,NA,,NA,NA,right,2734,1696363024990,p3sarrshacol4.png,sarrshacol,new
69,2698,0,1,4,0,2,3,0,5,0,5,0,79,27-04-23,17:06:59,bkxldo,1,1451,sqa4.png,4,1,sqa,0,-120,cir1.png,1,1,cir,0,0,tri4.png,4,1,tri,120,0,sqa4.png,4,1,sqa,120,-120,sqa2.png,2,1,sqa,0,120,,NA,,NA,NA,left,1549,1685200104668,p3sarrshacol4.png,sarrshacol,new
70,2699,0,0,2,0,5,3,0,1,4,5,0,79,27-04-23,17:06:59,bkxldo,2,1451,sqa1.png,1,1,sqa,0,120,tri3.png,3,1,tri,120,-120,tri3.png,3,1,tri,120,0,cir1.png,1,1,cir,120,120,tri5.png,5,1,tri,0,0,,NA,,NA,NA,left,1549,1685200104668,p3sarrshacol4.png,sarrshacol,new
71,2700,2,4,0,3,5,1,0,0,0,5,0,79,27-04-23,17:06:59,bkxldo,3,1451,tri1.png,1,1,tri,120,0,tri6.png,6,1,tri,-120,-120,cir6.png,6,1,cir,-120,0,sqa3.png,3,1,sqa,0,-120,sqa2.png,2,1,sqa,0,0,tri0.png,1,tri,120,120,left,1549,1685200104668,p3sarrshacol4.png,sarrshacol,new
72,2701,0,1,4,2,5,3,0,0,0,5,0,79,27-04-23,17:06:59,bkxldo,4,1451,sqa5.png,5,1,sqa,0,-120,sqa5.png,5,1,sqa,-120,0,sqa2.png,2,1,sqa,120,0,cir1.png,1,1,cir,120,-120,tri4.png,4,1,tri,0,0,tri0.png,1,tri,120,120,left,1549,1685200104668,p3sarrshacol4.png,sarrshacol,new
73,2868,0,0,5,2,4,1,3,0,0,5,0,79,24-04-23,21:18:38,iheuof,1,2061,sqa0.png,0,1,sqa,120,0,sqa0.png,0,1,sqa,-120,0,tri0.png,0,1,tri,-120,120,tri0.png,0,1,tri,0,0,cir0.png,0,1,cir,120,-120,,NA,,NA,NA,right,939,1684955951623,p3sarrshacol4.png,sarrshacol,new
74,2869,5,0,0,4,1,3,0,2,0,5,0,79,24-04-23,21:18:38,iheuof,2,2061,sqa0.png,0,1,sqa,0,0,cir0.png,0,1,cir,0,120,sqa0.png,0,1,sqa,120,0,tri0.png,0,1,tri,-120,0,sqa0.png,0,1,sqa,-120,-120,,NA,,NA,NA,right,939,1684955951623,p3sarrshacol4.png,sarrshacol,new
75,2870,0,0,4,5,3,1,0,2,0,5,0,79,24-04-23,21:18:38,iheuof,3,2061,sqa1.png,1,1,sqa,120,0,tri2.png,2,1,tri,0,120,tri4.png,4,1,tri,0,0,cir6.png,6,1,cir,120,-120,sqa1.png,1,1,sqa,-120,0,tri0.png,1,tri,-120,120,right,939,1684955951623,p3sarrshacol4.png,sarrshacol,new
76,2871,1,0,4,3,0,2,0,5,0,5,0,79,24-04-23,21:18:38,iheuof,4,2061,sqa0.png,0,1,sqa,-120,-120,sqa0.png,0,1,sqa,120,0,sqa0.png,0,1,sqa,-120,0,tri0.png,0,1,tri,120,-120,cir0.png,0,1,cir,0,120,tri0.png,1,tri,-120,120,right,939,1684955951623,p3sarrshacol4.png,sarrshacol,new
77,2953,0,0,0,1,3,4,2,5,0,5,0,79,23-04-23,19:29:09,jijk0f,1,1884,cir1.png,1,1,cir,-120,0,sqa3.png,3,1,sqa,-120,120,cir1.png,1,1,cir,0,0,tri2.png,2,1,tri,120,0,sqa3.png,3,1,sqa,0,120,,NA,,NA,NA,right,1116,1684863036449,p3sarrshacol4.png,sarrshacol,new
